time      CO        HCO+      DCO+      e-        
1.000e-01 0.000e+00 0.000e+00 0.000e+00 2.406e-04 
1.205e-01 2.866e-13 1.319e-13 3.601e-18 2.406e-04 
1.451e-01 1.216e-12 1.618e-13 5.198e-18 2.405e-04 
1.748e-01 2.837e-12 1.724e-13 5.539e-18 2.405e-04 
2.105e-01 5.459e-12 1.847e-13 5.800e-18 2.405e-04 
2.535e-01 9.594e-12 2.001e-13 6.145e-18 2.405e-04 
3.054e-01 1.600e-11 2.185e-13 6.596e-18 2.405e-04 
3.678e-01 2.576e-11 2.400e-13 7.165e-18 2.404e-04 
4.431e-01 4.048e-11 2.650e-13 7.860e-18 2.404e-04 
5.337e-01 6.247e-11 2.936e-13 8.680e-18 2.404e-04 
6.428e-01 9.507e-11 3.261e-13 9.617e-18 2.403e-04 
7.743e-01 1.431e-10 3.626e-13 1.066e-17 2.402e-04 
9.326e-01 2.136e-10 4.030e-13 1.180e-17 2.402e-04 
1.123e+00 3.165e-10 4.470e-13 1.304e-17 2.401e-04 
1.353e+00 4.661e-10 4.939e-13 1.436e-17 2.399e-04 
1.630e+00 6.830e-10 5.428e-13 1.573e-17 2.398e-04 
1.963e+00 9.964e-10 5.925e-13 1.713e-17 2.396e-04 
2.364e+00 1.448e-09 6.415e-13 1.851e-17 2.394e-04 
2.848e+00 2.098e-09 6.882e-13 1.984e-17 2.392e-04 
3.430e+00 3.031e-09 7.313e-13 2.107e-17 2.389e-04 
4.132e+00 4.369e-09 7.695e-13 2.218e-17 2.385e-04 
4.977e+00 6.284e-09 8.025e-13 2.317e-17 2.381e-04 
5.995e+00 9.021e-09 8.304e-13 2.403e-17 2.375e-04 
7.221e+00 1.293e-08 8.539e-13 2.479e-17 2.369e-04 
8.697e+00 1.849e-08 8.741e-13 2.546e-17 2.361e-04 
1.048e+01 2.640e-08 8.921e-13 2.609e-17 2.351e-04 
1.262e+01 3.759e-08 9.089e-13 2.668e-17 2.340e-04 
1.520e+01 5.336e-08 9.252e-13 2.727e-17 2.326e-04 
1.831e+01 7.543e-08 9.419e-13 2.788e-17 2.310e-04 
2.205e+01 1.061e-07 9.602e-13 2.854e-17 2.290e-04 
2.656e+01 1.482e-07 9.810e-13 2.931e-17 2.267e-04 
3.199e+01 2.056e-07 1.006e-12 3.022e-17 2.240e-04 
3.854e+01 2.825e-07 1.035e-12 3.135e-17 2.208e-04 
4.642e+01 3.844e-07 1.072e-12 3.276e-17 2.170e-04 
5.591e+01 5.172e-07 1.116e-12 3.453e-17 2.125e-04 
6.734e+01 6.873e-07 1.170e-12 3.679e-17 2.074e-04 
8.111e+01 9.019e-07 1.238e-12 3.971e-17 2.015e-04 
9.770e+01 1.168e-06 1.322e-12 4.352e-17 1.947e-04 
1.177e+02 1.492e-06 1.427e-12 4.858e-17 1.869e-04 
1.417e+02 1.882e-06 1.561e-12 5.543e-17 1.783e-04 
1.707e+02 2.344e-06 1.733e-12 6.487e-17 1.686e-04 
2.057e+02 2.887e-06 1.953e-12 7.819e-17 1.580e-04 
2.477e+02 3.518e-06 2.241e-12 9.748e-17 1.465e-04 
2.984e+02 4.245e-06 2.628e-12 1.264e-16 1.343e-04 
3.594e+02 5.075e-06 3.167e-12 1.714e-16 1.214e-04 
4.329e+02 6.016e-06 3.940e-12 2.441e-16 1.081e-04 
5.214e+02 7.074e-06 5.063e-12 3.664e-16 9.472e-05 
6.280e+02 8.252e-06 6.734e-12 5.825e-16 8.141e-05 
7.565e+02 9.552e-06 9.299e-12 9.872e-16 6.851e-05 
9.112e+02 1.097e-05 1.340e-11 1.797e-15 5.630e-05 
1.097e+03 1.251e-05 2.027e-11 3.540e-15 4.505e-05 
1.322e+03 1.417e-05 3.237e-11 7.573e-15 3.502e-05 
1.592e+03 1.594e-05 5.467e-11 1.758e-14 2.640e-05 
1.918e+03 1.787e-05 9.726e-11 4.391e-14 1.929e-05 
2.310e+03 2.005e-05 1.812e-10 1.169e-13 1.366e-05 
2.783e+03 2.270e-05 3.517e-10 3.302e-13 9.323e-06 
3.352e+03 2.622e-05 7.129e-10 9.976e-13 6.070e-06 
