time      CO        HCO+      DCO+      
1.000e-01 0.000e+00 0.000e+00 0.000e+00 
1.205e-01 2.864e-13 1.317e-13 3.597e-18 
1.451e-01 1.207e-12 1.588e-13 5.148e-18 
1.748e-01 2.778e-12 1.632e-13 5.379e-18 
2.105e-01 5.263e-12 1.665e-13 5.463e-18 
2.535e-01 9.107e-12 1.704e-13 5.563e-18 
3.054e-01 1.497e-11 1.749e-13 5.693e-18 
3.678e-01 2.382e-11 1.802e-13 5.864e-18 
4.431e-01 3.706e-11 1.864e-13 6.083e-18 
5.337e-01 5.676e-11 1.935e-13 6.347e-18 
6.428e-01 8.589e-11 2.017e-13 6.650e-18 
7.743e-01 1.288e-10 2.111e-13 6.984e-18 
9.326e-01 1.918e-10 2.217e-13 7.349e-18 
1.123e+00 2.840e-10 2.335e-13 7.749e-18 
1.353e+00 4.187e-10 2.465e-13 8.186e-18 
1.630e+00 6.148e-10 2.606e-13 8.659e-18 
1.963e+00 9.001e-10 2.756e-13 9.163e-18 
2.364e+00 1.314e-09 2.914e-13 9.694e-18 
2.848e+00 1.914e-09 3.077e-13 1.024e-17 
3.430e+00 2.783e-09 3.242e-13 1.081e-17 
4.132e+00 4.039e-09 3.406e-13 1.137e-17 
4.977e+00 5.850e-09 3.566e-13 1.193e-17 
5.995e+00 8.459e-09 3.720e-13 1.248e-17 
7.221e+00 1.221e-08 3.865e-13 1.300e-17 
8.697e+00 1.758e-08 3.998e-13 1.348e-17 
1.048e+01 2.525e-08 4.118e-13 1.393e-17 
1.262e+01 3.617e-08 4.223e-13 1.433e-17 
1.520e+01 5.160e-08 4.315e-13 1.469e-17 
1.831e+01 7.326e-08 4.398e-13 1.502e-17 
2.205e+01 1.034e-07 4.476e-13 1.534e-17 
2.656e+01 1.450e-07 4.557e-13 1.566e-17 
3.199e+01 2.016e-07 4.648e-13 1.603e-17 
3.854e+01 2.778e-07 4.754e-13 1.646e-17 
4.642e+01 3.787e-07 4.879e-13 1.697e-17 
5.591e+01 5.105e-07 5.029e-13 1.759e-17 
6.734e+01 6.796e-07 5.207e-13 1.835e-17 
8.111e+01 8.931e-07 5.421e-13 1.929e-17 
9.770e+01 1.158e-06 5.678e-13 2.046e-17 
1.177e+02 1.483e-06 5.989e-13 2.193e-17 
